Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type
", ",2,,,,,,tht
C1,1,330nF,C_0805_2012Metric,,,,smt
C10,1,1nF,C_0603_1608Metric,,,,smt
C11,1,2.5uF,C_1206_3216Metric,,,,smt
"C12, C15, C17, C19, C21, C23, C25, C27, C29, C31, C32, C34, C35, C36, C9",15,280nF,C_0603_1608Metric,,,,smt
"C13, C14, C16, C18, C20, C22, C24, C26, C28, C30",10,82pF,C_0603_1608Metric,,,,smt
C2,1,1nF,C_0805_2012Metric,,,,smt
"C3, C4",2,200pF,C_0805_2012Metric,,,,smt
C33,1,330nF,C_0603_1608Metric,,,,smt
"C37, C38, C39, C40, C41, C42, C43, C44, C63, C64, C65, C66",12,200pF,C_0603_1608Metric,,,,smt
"C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61",17,200nF,C_0603_1608Metric,,,,smt
"C62, C67, C78",3,250nF,C_0603_1608Metric,,,,smt
C68,1,DNP,C_0603_1608Metric,,,Yes,smt
C69,1,DNP,C_1206_3216Metric,,,Yes,smt
C70,1,DNP,C_0805_2012Metric,,,Yes,smt
C71,1,DNP,C_1206_3216Metric,,,Yes,smt
C72,1,DNP,C_0805_2012Metric,,,Yes,smt
C73,1,DNP,C_0603_1608Metric,,,Yes,smt
C74,1,DNP,C_0603_1608Metric,,,Yes,smt
C75,1,150nF,C_0603_1608Metric,,,,smt
"C76, C77",2,10nF,C_0603_1608Metric,,,,smt
"C79, C80, C81, C82",4,360nF,C_0805_2012Metric,,,,smt
C83,1,DNP,C_0603_1608Metric,,,Yes,smt
CN1,1,DSUB-15-HD_Socket_Horizontal_P2.29x1.90mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,DSUB-15-HD_Socket_Horizontal_P2.29x1.90mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,,,,tht
CN2,1,FDC_Connector,FDC_Connector,,,,smt
CN4,1,DSUB-25_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,DSUB-25_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,,,,tht
CN5,1,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,,,,tht
"CN6, CN7",2,PS2 Connector,PS2 Connector,,,,smt
CN8,1,BarrelJack_Horizontal_PC110,BarrelJack_Horizontal_PC110,,,,tht
"D2, D3",2,s.3 5J,D_2010_5025Metric,,,,smt
"DA1, DA10, DA2, DA3, DA4, DA6, DA7, DA8",8,1W,SOT-323_SC-70,,,,smt
DA11,1,DNP,SOT-23W,,,Yes,smt
DA12,1,DNP,SOT-23W,,,Yes,smt
DA9,1,SOT-323_SC-70,SOT-323_SC-70,,,Yes,smt
F1,1,50v x1G0 JX30,Fuse_Littelfuse_395Series,,,,tht
"J1, J2, J3, J4",4,25-1MP_P0.5mm_Horizontal,25-1MP_P0.5mm_Horizontal_PC110_dock,,,,smt
"L1, L2, L3, L34, L37, L38",6,300nH,L_0805_2012Metric,,,,smt
"L11, L13, L14, L15, L16, L17, L18, L19, L20, L21, L22, L23, L24, L25, L26, L27, L28, L29, L30, L31, L39, L40, L41, L42, L43, L44, L45, L46, L47, L48, L49, L5, L50, L51, L52, L53, L54, L55, L56, L57, L58, L59, L6, L60, L61, L62, L63, L64, L65, L66, L67",51,680nH,L_0805_2012Metric,,,,smt
L68,1,EMI_Transformer,EMI_Transformer,,,,smt
Q1,1,3P4J,TO-252-2,,,,smt
Q2,1,8C,SOT-323_SC-70,,,,smt
"R1, R2",2,33,R_0805_2012Metric,,,,smt
R10,1,DNP,R_0603_1608Metric,,,Yes,smt
R11,1,DNP,R_0603_1608Metric,,,Yes,smt
"R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28",17,10,R_0603_1608Metric,,,,smt
R29,1,DNP,R_0603_1608Metric,,,Yes,smt
"R3, R4",2,33,R_0603_1608Metric,,,,smt
"R30, R31, R32, R33, R34, R35, R36, R37",8,1k,R_0805_2012Metric,,,,smt
R38,1,0,R_0805_2012Metric,,,,smt
"R39, R41, R5, R52, R53, R54, R55, R56, R57, R58, R59, R68, R69, R7, R70, R71, R72, R73, R74, R75, R8",21,0,R_0603_1608Metric,,,,smt
R40,1,DNP,R_0603_1608Metric,,,Yes,smt
R42,1,DNP,R_0603_1608Metric,,,Yes,smt
R43,1,DNP,R_0603_1608Metric,,,Yes,smt
R44,1,DNP,R_0603_1608Metric,,,Yes,smt
R45,1,DNP,R_0603_1608Metric,,,Yes,smt
R46,1,DNP,R_0603_1608Metric,,,Yes,smt
R47,1,DNP,R_0603_1608Metric,,,Yes,smt
R48,1,DNP,R_0603_1608Metric,,,Yes,smt
R49,1,DNP,R_0603_1608Metric,,,Yes,smt
R50,1,DNP,R_0603_1608Metric,,,Yes,smt
R51,1,DNP,R_0603_1608Metric,,,Yes,smt
"R6, R9",2,470k,R_0603_1608Metric,,,,smt
R60,1,DNP,R_0603_1608Metric,,,Yes,smt
R61,1,DNP,R_0603_1608Metric,,,Yes,smt
R62,1,DNP,R_0603_1608Metric,,,Yes,smt
R63,1,DNP,R_0603_1608Metric,,,Yes,smt
R64,1,DNP,R_0603_1608Metric,,,Yes,smt
R65,1,DNP,R_0603_1608Metric,,,Yes,smt
R66,1,DNP,R_0603_1608Metric,,,Yes,smt
R67,1,DNP,R_0603_1608Metric,,,Yes,smt
"RA2, RA3, RA4",3,47k,R_Array_Concave_4x0603,,,,smt
"RA5, RA6",2,470k,R_Array_Concave_4x0603,,,,smt
RA7,1,DNP,R_Array_Concave_4x0603,,,Yes,smt
RA8,1,DNP,R_Array_Concave_4x0603,,,Yes,smt
SSFC,1,Fuse_2010_5025Metric,Fuse_2010_5025Metric,,,,smt
U1,1,74VHCT244,SSOP-20_4.4x6.5mm_P0.65mm,,,,smt
U2,1,DNP (LT1237CS),SSOP-28_5.3x10.2mm_P0.65mm,,,Yes,smt
U3,1,DS14C535MSA,SSOP-28_5.3x10.2mm_P0.65mm,,,,smt
U4,1,DNP,SOT-23-5,,,Yes,smt
ZD1,1,18-,D_0805_2012Metric,,,,smt
ZD4,1,5_1,D_0805_2012Metric,,,,smt
