pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
172.49,-115.57,0.0,top,,,,,,tht
174.6,-115.59,0.0,top,,,,,,tht
117.85,-89.1,-90.0,top,C1,,,C_0805_2012Metric,330nF,smt
213.04,-81.125,90.0,top,C10,,,C_0603_1608Metric,1nF,smt
207.08,-80.78,0.0,top,C11,,,C_1206_3216Metric,2.5uF,smt
206.795,-99.21,180.0,top,C12,,,C_0603_1608Metric,280nF,smt
210.255,-99.21,180.0,top,C13,,,C_0603_1608Metric,82pF,smt
210.245,-97.44,180.0,top,C14,,,C_0603_1608Metric,82pF,smt
206.775,-97.44,180.0,top,C15,,,C_0603_1608Metric,280nF,smt
210.255,-95.67,180.0,top,C16,,,C_0603_1608Metric,82pF,smt
206.84,-95.67,180.0,top,C17,,,C_0603_1608Metric,280nF,smt
210.265,-93.91,180.0,top,C18,,,C_0603_1608Metric,82pF,smt
206.825,-93.91,180.0,top,C19,,,C_0603_1608Metric,280nF,smt
119.5,-89.07,-90.0,top,C2,,,C_0805_2012Metric,1nF,smt
210.195,-92.15,180.0,top,C20,,,C_0603_1608Metric,82pF,smt
206.865,-92.15,180.0,top,C21,,,C_0603_1608Metric,280nF,smt
210.26,-90.38,180.0,top,C22,,,C_0603_1608Metric,82pF,smt
206.8,-90.37,180.0,top,C23,,,C_0603_1608Metric,280nF,smt
210.255,-88.6,180.0,top,C24,,,C_0603_1608Metric,82pF,smt
206.8,-88.6,180.0,top,C25,,,C_0603_1608Metric,280nF,smt
210.255,-86.84,180.0,top,C26,,,C_0603_1608Metric,82pF,smt
206.795,-86.83,180.0,top,C27,,,C_0603_1608Metric,280nF,smt
210.255,-85.03,180.0,top,C28,,,C_0603_1608Metric,82pF,smt
206.845,-85.02,180.0,top,C29,,,C_0603_1608Metric,280nF,smt
113.69,-80.88,-90.0,top,C3,,,C_0805_2012Metric,200pF,smt
210.255,-83.23,180.0,top,C30,,,C_0603_1608Metric,82pF,smt
202.9,-115.18,180.0,top,C31,,,C_0603_1608Metric,280nF,smt
196.66,-110.63,180.0,top,C32,,,C_0603_1608Metric,280nF,smt
196.26,-103.65,180.0,top,C33,,,C_0603_1608Metric,330nF,smt
206.83,-101.53,180.0,top,C34,,,C_0603_1608Metric,280nF,smt
203.75,-110.9,180.0,top,C35,,,C_0603_1608Metric,280nF,smt
178.9,-114.17,180.0,top,C36,,,C_0603_1608Metric,280nF,smt
