Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
C1,1,DNP,C_0402_1005Metric,,,Yes,smt,
"C10, C102, C12, C123, C129, C13, C131, C133, C134, C140, C152, C153, C154, C155, C16, C160, C165, C168, C182, C187, C19, C192, C202, C211, C216, C219, C22, C222, C223, C225, C226, C227, C23, C233, C235, C241, C243, C245, C248, C259, C273, C276, C45, C50, C58, C59, C63, C64, C68, C74, C88",51,C_0603_1608Metric,C_0603_1608Metric,,,,smt,
"C100, C101, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C121, C122, C124, C125, C126, C127, C128, C130, C132, C136, C137, C138, C139, C14, C141, C142, C143, C144, C145, C146, C147, C148, C149, C15, C159, C161, C164, C166, C167, C169, C17, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C18, C180, C181, C183, C184, C185, C186, C188, C189, C190, C191, C193, C194, C195, C196, C197, C198, C199, C2, C200, C204, C206, C208, C210, C213, C214, C217, C218, C220, C221, C228, C229, C230, C232, C234, C236, C237, C238, C239, C24, C240, C242, C244, C246, C247, C249, C25, C250, C251, C252, C253, C254, C255, C256, C257, C258, C26, C262, C264, C265, C266, C267, C268, C269, C27, C270, C271, C272, C274, C275, C277, C278, C279, C28, C280, C281, C282, C283, C3, C30, C31, C32, C33, C34, C36, C37, C39, C4, C40, C41, C42, C43, C47, C5, C51, C53, C54, C56, C57, C6, C60, C61, C62, C65, C66, C69, C7, C70, C71, C73, C75, C76, C77, C78, C79, C81, C82, C83, C84, C85, C86, C87, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, R119, R122, R125, R17, R253, R260, R29",200,C_0402_1005Metric,C_0402_1005Metric,,,,smt,
C11,1,DNP,C_1206_3216Metric,,,Yes,smt,
"C120, C135, C261, C49, C55",5,C_0805_2012Metric,C_0805_2012Metric,,,,smt,
C150,1,DNP,C_0402_1005Metric,,,Yes,smt,
"C151, C158, C162, C163, C20, C201, C203, C205, C207, C209, C21, C212, C215, C224, C29, C35, C46, C48, C9",19,C_1206_3216Metric,C_1206_3216Metric,,,,smt,
C156,1,DNP,C_0402_1005Metric,,,Yes,smt,
C157,1,DNP,C_0402_1005Metric,,,Yes,smt,
C231,1,DNP,C_0402_1005Metric,,,Yes,smt,
C260,1,DNP,C_0402_1005Metric,,,Yes,smt,
C263,1,DNP,C_0402_1005Metric,,,Yes,smt,
"C38, C67, C72, R100, R101, R102, R103, R104, R105, R106, R107, R109, R110, R111, R113, R114, R115, R116, R117, R118, R120, R121, R123, R124, R126, R127, R128, R129, R130, R132, R133, R134, R135, R136, R137, R138, R139, R14, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R150, R151, R152, R153, R154, R155, R156, R157, R158, R159, R16, R160, R161, R162, R163, R164, R165, R166, R167, R168, R169, R170, R171, R172, R173, R174, R175, R176, R177, R178, R179, R180, R181, R182, R183, R184, R185, R187, R188, R189, R19, R190, R191, R192, R193, R194, R195, R196, R197, R198, R199, R20, R200, R201, R202, R204, R205, R207, R208, R209, R21, R210, R211, R212, R213, R214, R215, R216, R217, R218, R219, R22, R220, R221, R222, R223, R224, R225, R227, R228, R229, R23, R231, R232, R234, R236, R237, R239, R24, R240, R242, R243, R244, R245, R246, R247, R248, R249, R25, R251, R252, R255, R256, R257, R258, R26, R261, R262, R264, R265, R267, R268, R269, R27, R270, R272, R273, R274, R275, R276, R277, R278, R279, R28, R280, R282, R283, R284, R285, R286, R287, R288, R289, R291, R293, R298, R299, R30, R300, R302, R303, R304, R305, R306, R307, R309, R310, R311, R312, R313, R314, R315, R316, R317, R318, R319, R32, R320, R321, R322, R323, R324, R325, R326, R327, R328, R329, R33, R331, R332, R333, R334, R335, R336, R337, R338, R339, R34, R340, R341, R342, R343, R344, R345, R346, R347, R348, R349, R350, R351, R352, R353, R354, R355, R356, R357, R358, R359, R36, R360, R361, R362, R363, R364, R365, R366, R368, R369, R37, R370, R371, R372, R373, R374, R375, R376, R377, R378, R379, R38, R380, R381, R382, R383, R384, R385, R386, R388, R389, R39, R390, R391, R392, R393, R394, R395, R396, R398, R399, R400, R402, R404, R405, R407, R408, R409, R41, R410, R411, R412, R413, R42, R44, R45, R46, R47, R48, R51, R52, R53, R58, R59, R60, R61, R62, R63, R64, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R8, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99",349,R_0402_1005Metric,R_0402_1005Metric,,,,smt,
"C44, R250, R254, R259, R263, R266, R281, R294, R308",9,R_0805_2012Metric,R_0805_2012Metric,,,,smt,
C52,1,DNP,C_0402_1005Metric,,,Yes,smt,
C8,1,DNP,C_0402_1005Metric,,,Yes,smt,
C80,1,DNP,C_0603_1608Metric,,,Yes,smt,
"D1, D10, D13, D14, D15, D16, D17, D18, D19, D22, D3, D4, D5, D7, D9, Q19, Q26, Q27, Q31, Q4, Q9",21,3D,3D,,,,smt,
"D11, D2, D20, D21, D24, D27, D33, D35, D6, D8, Q15, Q16, Q18, Q22, Q29, Q3, Q38, Q43, Q44, Q45, Q5, Q55, Q6, Q8",24,SOT-416L,SOT-416L,,,,smt,
"D12, D23, D25, D28, D29, D30, D31, D32, D34",9,D_0603_1608Metric,D_0603_1608Metric,,,,smt,
"D26, D37",2,Diode,Diode,,,,smt,
D36,1,DNP,SOT-416,,,Yes,smt,
D38,1,3D,SOT-416L,,,,smt,
"D39, Q1, Q13, Q21, Q35, Q42, Q46",7,SOT-23,SOT-23,,,,smt,
"EM1, EM2, EM3, EM4, EM5, RA1, RA2, RA3, RA4, RA5",10,R-array,R-array,,,,smt,
"F1, F2, F3, F4",4,Fuse_1206_3216Metric,Fuse_1206_3216Metric,,,,smt,
J1,1,LCD_connector,LCD_connector,,,,smt,
J10,1,PCMCIA,PCMCIA,,,,smt,
J11,1,CF-card,CF-card,,,,smt,
J12,1,Debug-6,Debug-6,,,,smt,
J13,1,Docking Port,Docking Port,,,,smt,
J15,1,RAM Module,RAM Module,,,,smt,
J16,1,Flat-20,Flat-20,,,,smt,
J17,1,Flat-8,Flat-8,,,,smt,
J18,1,Flat-4,Flat-4,,,,smt,
J19,1,Flat-18,Flat-18,,,,smt,
J2,1,PS2,PS2,,,,smt,
J3,1,Audio-Jack,Audio-Jack,,,,smt,
J4,1,connector-4,connector-4,,,,smt,
J5,1,PSU_Connector,PSU_Connector,,,,smt,
J6,1,BridgeBatt,BridgeBatt,,,,smt,
J7,1,SPKR,SPKR,,,,smt,
J8,1,Modem-Connector,Modem-Connector,,,,smt,
J9,1,Debug-10,Debug-10,,,,smt,
"L1, L10, L11, L13, L14, L15, L2, L3, L5, L6, L7, L8, L9",13,L_0603_1608Metric,L_0603_1608Metric,,,,smt,
"L12, L16, L17",3,L_0805_2012Metric,L_0805_2012Metric,,,,smt,
L18,1,L_0402_1005Metric,L_0402_1005Metric,,,,smt,
L4,1,L_1210_3225Metric,L_1210_3225Metric,,,,smt,
Q10,1,DNP,3D,,,Yes,smt,
"Q11, Q17, Q2, Q20, Q23, Q24, Q28, Q30, Q32, Q34, Q37, Q39, Q40, Q41, Q47, Q49, Q50, Q51, Q53, Q54, Q59",21,SOT-416,SOT-416,,,,smt,
Q12,1,DNP,3D,,,Yes,smt,
"Q14, Q56, Q64, Q65",4,SOT-523,SOT-523,,,,smt,
"Q25, Q36, Q57, Q60, Q61, Q62, Q63",7,TSOT-23,TSOT-23,,,,smt,
"Q33, Q48, Q52, Q58, Q7",5,SOT-89-3,SOT-89-3,,,,smt,
"R1, R10, R13, R2, R5, R6, R7",7,125K,R_0402_1005Metric,,,,smt,
R108,1,100K,R_0402_1005Metric,,,,smt,
R11,1,123K,R_0402_1005Metric,,,,smt,
"R112, R238, R241",3,R_0603_1608Metric,R_0603_1608Metric,,,,smt,
R12,1,182K,R_0402_1005Metric,,,,smt,
R131,1,DNP,R_0402_1005Metric,,,Yes,smt,
"R15, R18",2,118K,R_0402_1005Metric,,,,smt,
R186,1,DNP,R_0402_1005Metric,,,Yes,smt,
R203,1,DNP,R_0402_1005Metric,,,Yes,smt,
R206,1,DNP,R_0402_1005Metric,,,Yes,smt,
"R226, R35",2,R_1206_3216Metric,R_1206_3216Metric,,,,smt,
R230,1,0 ohm,R_0805_2012Metric,,,,smt,
R233,1,0 ohm,R_0603_1608Metric,,,,smt,
R235,1,8.2 ohm,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,
R271,1,DNP,R_0402_1005Metric,,,Yes,smt,
R290,1,DNP,R_0402_1005Metric,,,Yes,smt,
R292,1,DNP,R_0402_1005Metric,,,Yes,smt,
R295,1,DNP,R_0402_1005Metric,,,Yes,smt,
R296,1,DNP,R_0402_1005Metric,,,Yes,smt,
R297,1,DNP,R_0402_1005Metric,,,Yes,smt,
