Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
"C107, C11, C12, C127, C13, C133, C137, C140, C145, C146, C148, C15, C156, C157, C160, C164, C165, C19, C191, C192, C193, C194, C195, C20, C202, C203, C204, C216, C217, C218, C219, C228, C229, C236, C241, C246, C251, C255, C259, C263, C278, C31, C364, C44, C47, C64, C71, C77, C85, C86, C87",51,C_0603_1608Metric,C_0603_1608Metric,,,,smt,
"C114, C116, C396, C46, C69",5,C_0805_2012Metric,C_0805_2012Metric,,,,smt,
C16,1,DNP,C_0402_1005Metric,,,Yes,smt,
"C161, C162, C197, C214, C224, C225, C226, C233, C234, C237, C240, C248, C32, C33, C42, C43, C45, C65, C8",19,C_1206_3216Metric,C_1206_3216Metric,,,,smt,
C196,1,DNP,C_0402_1005Metric,,,Yes,smt,
C2,1,DNP,C_0402_1005Metric,,,Yes,smt,
C200,1,DNP,C_0402_1005Metric,,,Yes,smt,
C213,1,DNP,C_0402_1005Metric,,,Yes,smt,
C222,1,DNP,C_0402_1005Metric,,,Yes,smt,
C223,1,DNP,C_0402_1005Metric,,,Yes,smt,
C275,1,DNP,C_0402_1005Metric,,,Yes,smt,
C48,1,DNP,C_0402_1005Metric,,,Yes,smt,
C7,1,DNP,C_1206_3216Metric,,,Yes,smt,
C70,1,DNP,C_0603_1608Metric,,,Yes,smt,
"D1, D2",2,Diode,Diode,,,,smt,
D3,1,3D,SOT-416L,,,,smt,
D30,1,DNP,SOT-416,,,Yes,smt,
"EM1, EM2, EM3, EM4, EM5, RA1, RA2, RA3, RA4, RA5",10,R-array,R-array,,,,smt,
"F1, F2, F3, F4",4,Fuse_1206_3216Metric,Fuse_1206_3216Metric,,,,smt,
J10,1,Modem-Connector,Modem-Connector,,,,smt,
J11,1,Audio-Jack,Audio-Jack,,,,smt,
J12,1,SPKR,SPKR,,,,smt,
J13,1,Flat-4,Flat-4,,,,smt,
J14,1,BridgeBatt,BridgeBatt,,,,smt,
J15,1,PSU_Connector,PSU_Connector,,,,smt,
J16,1,PCMCIA,PCMCIA,,,,smt,
J17,1,connector-4,connector-4,,,,smt,
