pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
73.96,-50.97,0.0,top,C1,,,C_0402_1005Metric,C_0402_1005Metric,smt
117.61,-60.84,90.0,top,C10,,,C_0402_1005Metric,C_0402_1005Metric,smt
115.7,-118.24,0.0,top,C100,,,C_0402_1005Metric,C_0402_1005Metric,smt
119.63,-117.04,0.0,top,C101,,,C_0402_1005Metric,C_0402_1005Metric,smt
119.91,-118.75,0.0,top,C102,,,C_0402_1005Metric,C_0402_1005Metric,smt
127.3,-117.01,0.0,top,C103,,,C_0402_1005Metric,C_0402_1005Metric,smt
127.47,-118.56,0.0,top,C104,,,C_0402_1005Metric,C_0402_1005Metric,smt
87.25,-132.95,0.0,top,C105,,,C_0402_1005Metric,C_0402_1005Metric,smt
80.71,-136.98,90.0,top,C106,,,C_0402_1005Metric,C_0402_1005Metric,smt
74.98,-136.2,90.0,top,C107,,,C_0603_1608Metric,C_0603_1608Metric,smt
159.08,-100.53,90.0,top,C108,,,C_0402_1005Metric,C_0402_1005Metric,smt
134.18,-101.99,90.0,top,C109,,,C_0402_1005Metric,C_0402_1005Metric,smt
124.69,-50.72,90.0,top,C11,,,C_0603_1608Metric,C_0603_1608Metric,smt
136.22,-110.66,0.0,top,C110,,,C_0402_1005Metric,C_0402_1005Metric,smt
135.85,-112.17,0.0,top,C111,,,C_0402_1005Metric,C_0402_1005Metric,smt
135.89,-113.69,0.0,top,C112,,,C_0402_1005Metric,C_0402_1005Metric,smt
115.33,-142.94,90.0,top,C113,,,C_0402_1005Metric,C_0402_1005Metric,smt
135.94,-143.55,0.0,top,C114,,,C_0805_2012Metric,C_0805_2012Metric,smt
139.41,-135.43,90.0,top,C115,,,C_0402_1005Metric,C_0402_1005Metric,smt
141.82,-136.46,90.0,top,C116,,,C_0805_2012Metric,C_0805_2012Metric,smt
141.81,-143.76,90.0,top,C117,,,C_0402_1005Metric,C_0402_1005Metric,smt
147.83,-140.56,0.0,top,C118,,,C_0402_1005Metric,C_0402_1005Metric,smt
151.53,-143.71,90.0,top,C119,,,C_0402_1005Metric,C_0402_1005Metric,smt
126.16,-50.74,90.0,top,C12,,,C_0603_1608Metric,C_0603_1608Metric,smt
153.76,-137.57,0.0,top,C120,,,C_0402_1005Metric,C_0402_1005Metric,smt
149.99,-132.96,180.0,top,C121,,,C_0402_1005Metric,C_0402_1005Metric,smt
149.26,-128.5,90.0,top,C122,,,C_0402_1005Metric,C_0402_1005Metric,smt
152.36,-126.41,180.0,top,C123,,,C_0402_1005Metric,C_0402_1005Metric,smt
149.85,-123.88,180.0,top,C124,,,C_0402_1005Metric,C_0402_1005Metric,smt
154.76,-115.11,180.0,top,C125,,,C_0402_1005Metric,C_0402_1005Metric,smt
155.08,-123.66,180.0,top,C126,,,C_0402_1005Metric,C_0402_1005Metric,smt
170.47,-100.51,0.0,top,C127,,,C_0603_1608Metric,C_0603_1608Metric,smt
174.19,-100.26,0.0,top,C128,,,C_0402_1005Metric,C_0402_1005Metric,smt
173.91,-103.26,90.0,top,C129,,,C_0402_1005Metric,C_0402_1005Metric,smt
127.62,-50.745,90.0,top,C13,,,C_0603_1608Metric,C_0603_1608Metric,smt
168.11,-106.8,90.0,top,C130,,,C_0402_1005Metric,C_0402_1005Metric,smt
168.66,-112.41,90.0,top,C131,,,C_0402_1005Metric,C_0402_1005Metric,smt
168.84,-115.86,90.0,top,C132,,,C_0402_1005Metric,C_0402_1005Metric,smt
170.05,-119.19,90.0,top,C133,,,C_0603_1608Metric,C_0603_1608Metric,smt
178.12,-121.29,90.0,top,C134,,,C_0402_1005Metric,C_0402_1005Metric,smt
172.37,-128.4,90.0,top,C135,,,C_0402_1005Metric,C_0402_1005Metric,smt
175.15,-127.94,90.0,top,C136,,,C_0402_1005Metric,C_0402_1005Metric,smt
170.63,-135.56,0.0,top,C137,,,C_0603_1608Metric,C_0603_1608Metric,smt
168.6,-137.1,90.0,top,C138,,,C_0402_1005Metric,C_0402_1005Metric,smt
170.73,-137.36,90.0,top,C139,,,C_0402_1005Metric,C_0402_1005Metric,smt
129.04,-50.8,90.0,top,C14,,,C_0402_1005Metric,C_0402_1005Metric,smt
178.93,-143.75,90.0,top,C140,,,C_0603_1608Metric,C_0603_1608Metric,smt
200.59,-93.41,0.0,top,C141,,,C_0402_1005Metric,C_0402_1005Metric,smt
201.55,-94.48,0.0,top,C142,,,C_0402_1005Metric,C_0402_1005Metric,smt
205.17,-94.41,0.0,top,C143,,,C_0402_1005Metric,C_0402_1005Metric,smt
208.75,-105.35,0.0,top,C144,,,C_0402_1005Metric,C_0402_1005Metric,smt
193.13,-124.8,0.0,top,C145,,,C_0603_1608Metric,C_0603_1608Metric,smt
196.445,-124.81,0.0,top,C146,,,C_0603_1608Metric,C_0603_1608Metric,smt
210.43,-124.81,0.0,top,C147,,,C_0402_1005Metric,C_0402_1005Metric,smt
209.18,-139.65,90.0,top,C148,,,C_0603_1608Metric,C_0603_1608Metric,smt
210.42,-140.26,90.0,top,C149,,,C_0402_1005Metric,C_0402_1005Metric,smt
131.39,-50.955,90.0,top,C15,,,C_0603_1608Metric,C_0603_1608Metric,smt
211.7,-140.26,90.0,top,C150,,,C_0402_1005Metric,C_0402_1005Metric,smt
212.69,-140.26,90.0,top,C151,,,C_0402_1005Metric,C_0402_1005Metric,smt
214.0,-140.26,90.0,top,C152,,,C_0402_1005Metric,C_0402_1005Metric,smt
215.07,-140.26,90.0,top,C153,,,C_0402_1005Metric,C_0402_1005Metric,smt
216.22,-140.26,90.0,top,C154,,,C_0402_1005Metric,C_0402_1005Metric,smt
88.7,-44.04,90.0,bottom,C156,,,C_0603_1608Metric,C_0603_1608Metric,smt
94.06,-42.97,180.0,bottom,C157,,,C_0603_1608Metric,C_0603_1608Metric,smt
104.84,-45.63,-90.0,bottom,C158,,,C_0402_1005Metric,C_0402_1005Metric,smt
111.84,-45.07,180.0,bottom,C159,,,C_0402_1005Metric,C_0402_1005Metric,smt
132.59,-50.94,90.0,top,C16,,,C_0402_1005Metric,DNP,smt
92.86,-46.5,180.0,bottom,C160,,,C_0603_1608Metric,C_0603_1608Metric,smt
88.67,-47.03,180.0,bottom,C161,,,C_1206_3216Metric,C_1206_3216Metric,smt
84.23,-48.64,90.0,bottom,C162,,,C_1206_3216Metric,C_1206_3216Metric,smt
84.54,-55.32,-90.0,bottom,C163,,,C_0402_1005Metric,C_0402_1005Metric,smt
93.24,-54.67,180.0,bottom,C164,,,C_0603_1608Metric,C_0603_1608Metric,smt
91.9,-52.31,90.0,bottom,C165,,,C_0603_1608Metric,C_0603_1608Metric,smt
91.97,-49.52,90.0,bottom,C166,,,C_0402_1005Metric,C_0402_1005Metric,smt
93.47,-49.51,90.0,bottom,C167,,,C_0402_1005Metric,C_0402_1005Metric,smt
97.86,-49.65,90.0,bottom,C168,,,C_0402_1005Metric,C_0402_1005Metric,smt
98.83,-49.65,90.0,bottom,C169,,,C_0402_1005Metric,C_0402_1005Metric,smt
135.41,-50.94,90.0,top,C17,,,C_0402_1005Metric,C_0402_1005Metric,smt
99.87,-49.65,90.0,bottom,C170,,,C_0402_1005Metric,C_0402_1005Metric,smt
100.87,-49.65,90.0,bottom,C171,,,C_0402_1005Metric,C_0402_1005Metric,smt
102.92,-49.65,90.0,bottom,C172,,,C_0402_1005Metric,C_0402_1005Metric,smt
103.94,-49.65,90.0,bottom,C173,,,C_0402_1005Metric,C_0402_1005Metric,smt
104.95,-49.65,90.0,bottom,C174,,,C_0402_1005Metric,C_0402_1005Metric,smt
105.96,-49.65,90.0,bottom,C175,,,C_0402_1005Metric,C_0402_1005Metric,smt
106.99,-49.65,90.0,bottom,C176,,,C_0402_1005Metric,C_0402_1005Metric,smt
96.31,-52.62,90.0,bottom,C177,,,C_0402_1005Metric,C_0402_1005Metric,smt
112.16,-49.9,-90.0,bottom,C177,,,C_0402_1005Metric,C_0402_1005Metric,smt
97.32,-52.62,90.0,bottom,C178,,,C_0402_1005Metric,C_0402_1005Metric,smt
98.34,-52.62,90.0,bottom,C179,,,C_0402_1005Metric,C_0402_1005Metric,smt
136.38,-49.4,90.0,top,C18,,,C_0402_1005Metric,C_0402_1005Metric,smt
99.33,-52.62,90.0,bottom,C180,,,C_0402_1005Metric,C_0402_1005Metric,smt
100.26,-52.62,90.0,bottom,C181,,,C_0402_1005Metric,C_0402_1005Metric,smt
101.48,-52.62,90.0,bottom,C182,,,C_0402_1005Metric,C_0402_1005Metric,smt
102.41,-52.62,90.0,bottom,C183,,,C_0402_1005Metric,C_0402_1005Metric,smt
104.45,-52.62,90.0,bottom,C184,,,C_0402_1005Metric,C_0402_1005Metric,smt
103.41,-52.62,90.0,bottom,C184,,,C_0402_1005Metric,C_0402_1005Metric,smt
105.45,-52.62,90.0,bottom,C186,,,C_0402_1005Metric,C_0402_1005Metric,smt
107.36,-52.67,-90.0,bottom,C187,,,C_0402_1005Metric,C_0402_1005Metric,smt
108.66,-52.65,-90.0,bottom,C188,,,C_0402_1005Metric,C_0402_1005Metric,smt
93.94,-60.75,-90.0,bottom,C189,,,C_0402_1005Metric,C_0402_1005Metric,smt
93.04,-51.78,90.0,bottom,C189,,,C_0402_1005Metric,C_0402_1005Metric,smt
138.54,-53.07,90.0,top,C19,,,C_0603_1608Metric,C_0603_1608Metric,smt
76.66,-66.09,180.0,bottom,C190,,,C_0402_1005Metric,C_0402_1005Metric,smt
87.65,-64.98,180.0,bottom,C191,,,C_0603_1608Metric,C_0603_1608Metric,smt
73.54,-67.08,-90.0,bottom,C192,,,C_0603_1608Metric,C_0603_1608Metric,smt
79.49,-68.92,-90.0,bottom,C193,,,C_0603_1608Metric,C_0603_1608Metric,smt
84.58,-67.65,180.0,bottom,C194,,,C_0402_1005Metric,C_0402_1005Metric,smt
76.4,-74.74,180.0,bottom,C194,,,C_0603_1608Metric,C_0603_1608Metric,smt
75.07,-84.87,-90.0,bottom,C195,,,C_0603_1608Metric,C_0603_1608Metric,smt
80.93,-85.04,90.0,bottom,C196,,,C_0402_1005Metric,C_0402_1005Metric,smt
74.67,-88.55,0.0,bottom,C196,,,C_0402_1005Metric,DNP,smt
85.35,-88.69,180.0,bottom,C197,,,C_1206_3216Metric,C_1206_3216Metric,smt
88.53,-86.82,180.0,bottom,C197,,,C_0402_1005Metric,C_0402_1005Metric,smt
85.24,-91.79,180.0,bottom,C198,,,C_0402_1005Metric,C_0402_1005Metric,smt
89.17,-88.39,90.0,bottom,C198,,,C_0402_1005Metric,C_0402_1005Metric,smt
79.24,-97.08,90.0,bottom,C199,,,C_0402_1005Metric,C_0402_1005Metric,smt
76.46,-50.99,0.0,top,C2,,,C_0402_1005Metric,DNP,smt
139.81,-53.5,90.0,top,C20,,,C_0603_1608Metric,C_0603_1608Metric,smt
74.72,-99.61,180.0,bottom,C200,,,C_0402_1005Metric,DNP,smt
85.28,-103.9,90.0,bottom,C201,,,C_0402_1005Metric,C_0402_1005Metric,smt
94.84,-77.64,90.0,bottom,C202,,,C_0603_1608Metric,C_0603_1608Metric,smt
97.49,-77.56,90.0,bottom,C203,,,C_0603_1608Metric,C_0603_1608Metric,smt
98.82,-77.56,90.0,bottom,C204,,,C_0603_1608Metric,C_0603_1608Metric,smt
98.03,-81.87,-90.0,bottom,C205,,,C_0402_1005Metric,C_0402_1005Metric,smt
101.04,-82.17,-90.0,bottom,C206,,,C_0402_1005Metric,C_0402_1005Metric,smt
102.54,-82.17,-90.0,bottom,C207,,,C_0402_1005Metric,C_0402_1005Metric,smt
97.53,-96.04,90.0,bottom,C208,,,C_0402_1005Metric,C_0402_1005Metric,smt
98.67,-96.04,90.0,bottom,C209,,,C_0402_1005Metric,C_0402_1005Metric,smt
107.85,-103.96,90.0,bottom,C210,,,C_0402_1005Metric,C_0402_1005Metric,smt
109.31,-127.49,90.0,bottom,C210,,,C_0402_1005Metric,C_0402_1005Metric,smt
113.63,-136.4,180.0,bottom,C211,,,C_0402_1005Metric,C_0402_1005Metric,smt
111.59,-144.38,180.0,bottom,C212,,,C_0402_1005Metric,C_0402_1005Metric,smt
124.84,-42.87,180.0,bottom,C213,,,C_0402_1005Metric,DNP,smt
127.25,-44.89,90.0,bottom,C214,,,C_1206_3216Metric,C_1206_3216Metric,smt
130.93,-43.3,90.0,bottom,C215,,,C_0402_1005Metric,C_0402_1005Metric,smt
129.87,-46.07,180.0,bottom,C216,,,C_0603_1608Metric,C_0603_1608Metric,smt
125.34,-49.52,90.0,bottom,C217,,,C_0603_1608Metric,C_0603_1608Metric,smt
127.88,-49.52,90.0,bottom,C218,,,C_0603_1608Metric,C_0603_1608Metric,smt
139.56,-50.43,90.0,bottom,C219,,,C_0603_1608Metric,C_0603_1608Metric,smt
131.2,-48.91,90.0,bottom,C219,,,C_0402_1005Metric,C_0402_1005Metric,smt
119.23,-50.94,180.0,bottom,C220,,,C_0402_1005Metric,C_0402_1005Metric,smt
119.23,-51.95,180.0,bottom,C221,,,C_0402_1005Metric,C_0402_1005Metric,smt
116.6,-54.3,90.0,bottom,C222,,,C_0402_1005Metric,DNP,smt
119.24,-54.98,90.0,bottom,C223,,,C_0402_1005Metric,DNP,smt
122.4,-53.72,90.0,bottom,C224,,,C_1206_3216Metric,C_1206_3216Metric,smt
124.86,-53.73,90.0,bottom,C225,,,C_1206_3216Metric,C_1206_3216Metric,smt
127.1,-53.73,90.0,bottom,C226,,,C_1206_3216Metric,C_1206_3216Metric,smt
132.21,-53.98,90.0,bottom,C227,,,C_0402_1005Metric,C_0402_1005Metric,smt
133.82,-56.27,90.0,bottom,C228,,,C_0603_1608Metric,C_0603_1608Metric,smt
133.83,-59.68,90.0,bottom,C229,,,C_0603_1608Metric,C_0603_1608Metric,smt
119.59,-58.23,180.0,bottom,C230,,,C_0402_1005Metric,C_0402_1005Metric,smt
117.59,-60.51,90.0,bottom,C231,,,C_0402_1005Metric,C_0402_1005Metric,smt
116.95,-65.9,90.0,bottom,C233,,,C_1206_3216Metric,C_1206_3216Metric,smt
119.68,-65.91,90.0,bottom,C234,,,C_1206_3216Metric,C_1206_3216Metric,smt
135.09,-62.29,90.0,bottom,C235,,,C_0402_1005Metric,C_0402_1005Metric,smt
139.35,-64.67,90.0,bottom,C236,,,C_0603_1608Metric,C_0603_1608Metric,smt
138.64,-68.91,180.0,bottom,C237,,,C_1206_3216Metric,C_1206_3216Metric,smt
115.65,-74.84,180.0,bottom,C238,,,C_0402_1005Metric,C_0402_1005Metric,smt
131.74,-75.12,90.0,bottom,C239,,,C_0402_1005Metric,C_0402_1005Metric,smt
134.31,-70.67,-90.0,bottom,C240,,,C_1206_3216Metric,C_1206_3216Metric,smt
137.36,-71.1,180.0,bottom,C241,,,C_0402_1005Metric,C_0402_1005Metric,smt
85.23,-90.64,180.0,bottom,C241,,,C_0603_1608Metric,C_0603_1608Metric,smt
137.37,-72.06,180.0,bottom,C242,,,C_0402_1005Metric,C_0402_1005Metric,smt
140.44,-78.7,180.0,bottom,C243,,,C_0402_1005Metric,C_0402_1005Metric,smt
138.66,-90.55,90.0,bottom,C244,,,C_0402_1005Metric,C_0402_1005Metric,smt
145.02,-90.26,90.0,bottom,C245,,,C_0402_1005Metric,C_0402_1005Metric,smt
146.42,-90.71,90.0,bottom,C246,,,C_0603_1608Metric,C_0603_1608Metric,smt
150.5,-88.55,-90.0,bottom,C247,,,C_0402_1005Metric,C_0402_1005Metric,smt
152.43,-88.55,-90.0,bottom,C248,,,C_1206_3216Metric,C_1206_3216Metric,smt
116.14,-104.53,90.0,bottom,C249,,,C_0402_1005Metric,C_0402_1005Metric,smt
117.12,-104.53,90.0,bottom,C250,,,C_0402_1005Metric,C_0402_1005Metric,smt
