pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
76.46,-50.99,0.0,top,C1,,,C_0402_1005Metric,DNP,smt
116.16,-53.25,90.0,top,C10,,,C_1206_3216Metric,DNP,smt
74.98,-136.2,90.0,top,C100,,,C_0603_1608Metric,10nF,smt
87.25,-132.95,0.0,top,C101,,,C_0402_1005Metric,180nF,smt
100.87,-118.77,90.0,top,C102,,,C_0402_1005Metric,120nF,smt
108.95,-130.7,90.0,top,C103,,,C_0402_1005Metric,150nF,smt
100.88,-122.08,90.0,top,C104,,,C_0402_1005Metric,150nF,smt
95.58,-118.23,0.0,top,C105,,,C_0402_1005Metric,150nF,smt
105.43,-129.64,0.0,top,C106,,,C_0402_1005Metric,1nF,smt
127.47,-118.56,0.0,top,C107,,,C_0402_1005Metric,1nF,smt
115.7,-118.24,0.0,top,C108,,,C_0402_1005Metric,150nF,smt
115.7,-117.16,0.0,top,C109,,,C_0402_1005Metric,180nF,smt
134.68,-59.62,90.0,top,C11,,,C_0603_1608Metric,270nF,smt
119.63,-117.04,0.0,top,C110,,,C_0402_1005Metric,1nF,smt
139.41,-135.43,90.0,top,C111,,,C_0402_1005Metric,1nF,smt
127.3,-117.01,0.0,top,C112,,,C_0402_1005Metric,150nF,smt
119.91,-118.75,0.0,top,C113,,,C_0402_1005Metric,120nF,smt
152.36,-126.41,180.0,top,C114,,,C_0402_1005Metric,100nF,smt
149.99,-132.96,180.0,top,C115,,,C_0402_1005Metric,100nF,smt
156.26,-125.23,180.0,top,C116,,,C_0402_1005Metric,100nF,smt
149.85,-123.88,180.0,top,C117,,,C_0402_1005Metric,100nF,smt
141.82,-136.46,90.0,top,C118,,,C_0805_2012Metric,2.7uF,smt
155.08,-123.66,180.0,top,C119,,,C_0402_1005Metric,100nF,smt
131.39,-50.955,90.0,top,C12,,,C_0603_1608Metric,250nF,smt
154.76,-115.11,180.0,top,C120,,,C_0402_1005Metric,100nF,smt
153.76,-137.57,0.0,top,C121,,,C_0402_1005Metric,100nF,smt
149.26,-128.5,90.0,top,C122,,,C_0402_1005Metric,100nF,smt
170.73,-137.36,90.0,top,C123,,,C_0402_1005Metric,150nF,smt
170.05,-119.19,90.0,top,C124,,,C_0603_1608Metric,150nF,smt
168.6,-137.1,90.0,top,C125,,,C_0402_1005Metric,1nF,smt
168.84,-115.86,90.0,top,C126,,,C_0402_1005Metric,150nF,smt
172.37,-128.4,90.0,top,C127,,,C_0402_1005Metric,100nF,smt
175.15,-127.94,90.0,top,C128,,,C_0402_1005Metric,150nF,smt
178.12,-121.29,90.0,top,C129,,,C_0402_1005Metric,100nF,smt
138.54,-53.07,90.0,top,C13,,,C_0603_1608Metric,270nF,smt
170.63,-135.56,0.0,top,C130,,,C_0603_1608Metric,1uF,smt
209.18,-139.65,90.0,top,C131,,,C_0603_1608Metric,10nF,smt
196.445,-124.81,0.0,top,C132,,,C_0603_1608Metric,100nF,smt
210.43,-124.81,0.0,top,C133,,,C_0402_1005Metric,100nF,smt
193.13,-124.8,0.0,top,C134,,,C_0603_1608Metric,150nF,smt
135.94,-143.55,0.0,top,C135,,,C_0805_2012Metric,2.7uF,smt
115.33,-142.94,90.0,top,C136,,,C_0402_1005Metric,150nF,smt
141.81,-143.76,90.0,top,C137,,,C_0402_1005Metric,1nF,smt
151.53,-143.71,90.0,top,C138,,,C_0402_1005Metric,1nF,smt
147.83,-140.56,0.0,top,C139,,,C_0402_1005Metric,100nF,smt
138.25,-58.7,0.0,top,C14,,,C_1206_3216Metric,10uF,smt
178.93,-143.75,90.0,top,C140,,,C_0603_1608Metric,1uF,smt
210.42,-140.26,90.0,top,C141,,,C_0402_1005Metric,100nF,smt
212.69,-140.26,90.0,top,C142,,,C_0402_1005Metric,150nF,smt
215.07,-140.26,90.0,top,C143,,,C_0402_1005Metric,150nF,smt
214.0,-140.26,90.0,top,C144,,,C_0402_1005Metric,100pF,smt
211.7,-140.26,90.0,top,C145,,,C_0402_1005Metric,100pF,smt
216.22,-140.26,90.0,top,C146,,,C_0402_1005Metric,100nF,smt
139.56,-50.43,90.0,bottom,C147,,,C_0603_1608Metric,1uF,smt
116.6,-54.3,90.0,bottom,C148,,,C_0402_1005Metric,DNP,smt
135.09,-62.29,90.0,bottom,C149,,,C_0402_1005Metric,100nF,smt
136.38,-49.4,90.0,top,C15,,,C_0402_1005Metric,1nF,smt
125.34,-49.52,90.0,bottom,C150,,,C_0603_1608Metric,10nF,smt
131.2,-48.91,90.0,bottom,C151,,,C_0402_1005Metric,150nF,smt
124.86,-53.73,90.0,bottom,C152,,,C_1206_3216Metric,10uF,smt
133.82,-56.27,90.0,bottom,C153,,,C_0603_1608Metric,1uF,smt
130.93,-43.3,90.0,bottom,C154,,,C_0402_1005Metric,100pF,smt
132.21,-53.98,90.0,bottom,C155,,,C_0402_1005Metric,150nF,smt
117.59,-60.51,90.0,bottom,C156,,,C_0402_1005Metric,100nF,smt
119.59,-58.23,180.0,bottom,C157,,,C_0402_1005Metric,150nF,smt
133.83,-59.68,90.0,bottom,C158,,,C_0603_1608Metric,1uF,smt
119.24,-54.98,90.0,bottom,C159,,,C_0402_1005Metric,DNP,smt
135.19,-53.05,90.0,top,C16,,,C_0402_1005Metric,100pF,smt
122.4,-53.72,90.0,bottom,C160,,,C_1206_3216Metric,10uF,smt
127.1,-53.73,90.0,bottom,C161,,,C_1206_3216Metric,10uF,smt
127.25,-44.89,90.0,bottom,C162,,,C_1206_3216Metric,10uF,smt
119.23,-50.94,180.0,bottom,C163,,,C_0402_1005Metric,220pF,smt
129.87,-46.07,180.0,bottom,C164,,,C_0603_1608Metric,330nF,smt
124.84,-42.87,180.0,bottom,C165,,,C_0402_1005Metric,DNP,smt
127.88,-49.52,90.0,bottom,C166,,,C_0603_1608Metric,300nF,smt
119.23,-51.95,180.0,bottom,C167,,,C_0402_1005Metric,220pF,smt
92.86,-46.5,180.0,bottom,C168,,,C_0603_1608Metric,1uF,smt
101.48,-52.62,90.0,bottom,C169,,,C_0402_1005Metric,56pF,smt
115.5,-58.3,90.0,top,C17,,,C_0402_1005Metric,150nF,smt
112.16,-49.9,-90.0,bottom,C170,,,C_0402_1005Metric,220pF,smt
97.86,-49.65,90.0,bottom,C171,,,C_0402_1005Metric,56pF,smt
93.94,-60.75,-90.0,bottom,C172,,,C_0402_1005Metric,100nF,smt
97.32,-52.62,90.0,bottom,C173,,,C_0402_1005Metric,56pF,smt
105.96,-49.65,90.0,bottom,C174,,,C_0402_1005Metric,56pF,smt
104.95,-49.65,90.0,bottom,C175,,,C_0402_1005Metric,56pF,smt
93.24,-54.67,180.0,bottom,C176,,,C_0603_1608Metric,470nF,smt
107.36,-52.67,-90.0,bottom,C177,,,C_0402_1005Metric,56pF,smt
105.45,-52.62,90.0,bottom,C178,,,C_0402_1005Metric,56pF,smt
93.04,-51.78,90.0,bottom,C179,,,C_0402_1005Metric,1nF,smt
126.16,-50.74,90.0,top,C18,,,C_0603_1608Metric,270nF,smt
102.41,-52.62,90.0,bottom,C180,,,C_0402_1005Metric,56pF,smt
99.33,-52.62,90.0,bottom,C181,,,C_0402_1005Metric,56pF,smt
102.92,-49.65,90.0,bottom,C182,,,C_0402_1005Metric,56pF,smt
98.34,-52.62,90.0,bottom,C183,,,C_0402_1005Metric,56pF,smt
100.26,-52.62,90.0,bottom,C184,,,C_0402_1005Metric,56pF,smt
100.87,-49.65,90.0,bottom,C185,,,C_0402_1005Metric,56pF,smt
103.94,-49.65,90.0,bottom,C186,,,C_0402_1005Metric,56pF,smt
103.41,-52.62,90.0,bottom,C187,,,C_0402_1005Metric,56pF,smt
93.47,-49.51,90.0,bottom,C188,,,C_0402_1005Metric,1nF,smt
91.97,-49.52,90.0,bottom,C189,,,C_0402_1005Metric,100nF,smt
117.61,-60.84,90.0,top,C19,,,C_0402_1005Metric,150nF,smt
91.9,-52.31,90.0,bottom,C190,,,C_0603_1608Metric,10nF,smt
99.87,-49.65,90.0,bottom,C191,,,C_0402_1005Metric,56pF,smt
106.99,-49.65,90.0,bottom,C192,,,C_0402_1005Metric,56pF,smt
96.31,-52.62,90.0,bottom,C193,,,C_0402_1005Metric,56pF,smt
98.83,-49.65,90.0,bottom,C194,,,C_0402_1005Metric,56pF,smt
108.66,-52.65,-90.0,bottom,C195,,,C_0402_1005Metric,56pF,smt
