pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
145.29,-72.21,180.0,bottom,C1,,,C_0603_1608Metric,330nF,smt
123.62,-114.925,90.0,top,C12,,,C_1812_4532Metric,47uF 16v,smt
122.73,-89.04,180.0,bottom,C13,,,C_1206_3216Metric,822J,smt
150.67,-76.32,180.0,bottom,C15,,,C_0603_1608Metric,1.2uF,smt
142.84,-125.86,180.0,bottom,C2,,,C_0603_1608Metric,1nF,smt
133.03,-77.56,180.0,bottom,C2,,,C_0603_1608Metric,1.2uF,smt
170.55,-108.01,180.0,bottom,C23,,,C_0805_2012Metric,1.2uF,smt
138.82,-104.26,180.0,bottom,C24,,,C_0603_1608Metric,230nF,smt
122.91,-81.34,180.0,bottom,C26,,,C_0603_1608Metric,10nF,smt
170.48,-125.12,180.0,bottom,C28,,,C_1206_3216Metric,8.1uF,smt
160.77,-98.66,180.0,bottom,C29,,,C_0603_1608Metric,1.5uF,smt
145.36,-76.6,180.0,bottom,C3,,,C_0603_1608Metric,30nF,smt
148.58,-99.46,180.0,bottom,C30,,,C_0603_1608Metric,1.5uF,smt
170.54,-105.6,180.0,bottom,C31,,,C_1206_3216Metric,230nF,smt
138.74,-125.83,180.0,bottom,C32,,,C_0603_1608Metric,1.2uF,smt
143.84,-118.64,180.0,bottom,C34,,,C_0603_1608Metric,1nF,smt
134.76,-104.26,180.0,bottom,C37,,,C_0603_1608Metric,230nF,smt
135.1,-74.51,180.0,bottom,C38,,,C_0603_1608Metric,2.2uF,smt
122.96,-75.36,180.0,bottom,C39,,,C_0603_1608Metric,100nF,smt
143.87,-115.6,180.0,bottom,C39,,,C_0603_1608Metric,25nF,smt
145.29,-74.37,180.0,bottom,C4,,,C_0603_1608Metric,330nF,smt
137.1,-80.14,180.0,bottom,C40,,,C_0603_1608Metric,16nF,smt
139.02,-74.48,180.0,bottom,C41,,,C_0603_1608Metric,1uF,smt
127.45,-94.13,180.0,bottom,C42,,,C_0603_1608Metric,1.2nF,smt
137.1,-82.14,180.0,bottom,C43,,,C_0603_1608Metric,1uF,smt
133.27,-117.885,90.0,top,C45,,,C_1812_4532Metric,47uF 16v,smt
139.79,-112.08,0.0,top,C46,,,C_0603_1608Metric,24nF,smt
166.17,-115.2,180.0,bottom,C47,,,C_0603_1608Metric,24nF,smt
155.36,-99.45,180.0,bottom,C48,,,C_0603_1608Metric,25nF,smt
168.88,-100.69,0.0,top,C5,,,C_0603_1608Metric,250nF,smt
125.68,-99.38,180.0,bottom,C51,,,C_0603_1608Metric,1.2nF,smt
171.86,-89.53,180.0,bottom,C52,,,C_0603_1608Metric,330nF,smt
171.68,-82.87,180.0,bottom,C54,,,C_0603_1608Metric,330nF,smt
173.12,-80.83,180.0,bottom,C56,,,C_0402_1005Metric,1.6nF,smt
150.85,-72.49,180.0,bottom,C56,,,C_0603_1608Metric,470nF,smt
131.3,-120.67,180.0,bottom,C57,,,C_1206_3216Metric,6.8uF,smt
135.54,-112.08,180.0,bottom,C58,,,C_0603_1608Metric,220nF,smt
164.21,-83.54,180.0,bottom,C59,,,C_2220_5750Metric,280nF,smt
164.36,-77.67,180.0,bottom,C60,,,C_2220_5750Metric,280nF,smt
143.76,-80.67,180.0,bottom,C62,,,C_2220_5750Metric,280nF,smt
178.11,-123.58,0.0,top,C70,,,C_0603_1608Metric,1.8uF,smt
177.92,-114.87,180.0,bottom,C71,,,C_0805_2012Metric,1.3uF,smt
178.15,-110.39,0.0,top,C72,,,C_0603_1608Metric,1.8uF,smt
176.55,-120.77,0.0,top,C73,,,C_0402_1005Metric,100pF,smt
177.85,-117.68,180.0,bottom,C74,,,C_0805_2012Metric,220nF,smt
172.1,-76.15,0.0,top,CNP1,,,Line_Connector,Line_Connector,smt
122.58,-104.07,0.0,top,CNP2,,,modem_heaset_jack,modem_heaset_jack,smt
123.85,-81.94,90.0,top,CNP3,,,JST_8_headset_connector,JST_8_headset_connector,smt
170.19,-111.35,0.0,top,CNP4,,,Modem-Connector,Modem-Connector,smt
125.64,-93.76,90.0,top,CNP5,,,JST_2_modem_spkr,JST_2_modem_spkr,smt
154.22,-75.67,0.0,top,D1,,,TO-269AA,TO-269AA,smt
148.31,-81.12,-90.0,top,D10,,,D_1206_3216Metric,152,smt
152.73,-85.49,180.0,bottom,D2,,,D_SOD-128,1N4148,smt
139.5125,-97.86,180.0,bottom,D3,,,D_1206_3216Metric_modem,5,smt
165.07,-94.74,0.0,top,D4,,,D_1206_3216Metric_modem,5,smt
135.49,-109.6425,180.0,bottom,D5,,,SOT-323_SC-70,3D,smt
171.86,-85.92,180.0,bottom,D6,,,SOT-23-3,30H,smt
164.42,-73.51,0.0,top,D7,,,TO-269AA,TO-269AA,smt
139.4925,-99.88,180.0,bottom,D8,,,D_1206_3216Metric_modem,5,smt
154.32,-81.0,0.0,top,D9,,,TO-269AA,TO-269AA,smt
178.12,-113.75,0.0,top,DA1,,,DA_Modem,M1T,smt
170.92,-123.94,0.0,top,IC10,,,TSSOP-14_4.4x5mm_P0.65mm,AT32 433,smt
159.69,-111.45,0.0,bottom,IC11,,,TSOP-I-32_18.4x8mm_P0.5mm_Reverse,EN29F040A,smt
150.56,-111.47,0.0,bottom,IC12,,,TSOP-I-32_18.4x8mm_P0.5mm_Reverse,KM681000BLT-7 (I-Reverse),smt
135.26,-97.5725,0.0,bottom,IC13,,,SOT-353_SC-70-5,EA,smt
135.3,-92.1225,0.0,bottom,IC14,,,SOT-353_SC-70-5,E4,smt
171.92,-89.49,90.0,top,IC15,,,SOIC-8_5.3x6.2mm_P1.27mm,8206 5877,smt
135.33,-94.9125,0.0,bottom,IC16,,,SOT-353_SC-70-5,E3,smt
178.12,-117.74,0.0,top,IC17,,,SOT-353_SC-70-5,EA,smt
135.94,-110.54,90.0,top,IC18,,,TSOT-23-5,3L01,smt
166.07,-97.65,90.0,top,IC2,,,SOT-353_SC-70-5,EA,smt
144.57,-123.78,0.0,top,IC3,,,Line-Module,Line-Module,smt
144.73,-95.4125,0.0,bottom,IC4,,,SOT-353_SC-70-5,E5,smt
153.16,-111.36,0.0,top,IC5,,,MN195,MN195,smt
144.71,-92.6125,0.0,bottom,IC6,,,SOT-353_SC-70-5,54,smt
169.14,-97.66,90.0,top,IC7,,,SOT-353_SC-70-5,EA,smt
