Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type
"C1, C16, C24, C28, C36, C46, C47, C5, C59, C7",10,150nF,C_0603_1608Metric,,,,smt
C10,1,3.6nF,C_0603_1608Metric,,,,smt
"C11, C15, C37, C44, C49",5,180nF,C_0603_1608Metric,,,,smt
C12,1,1.2uF,C_1206_3216Metric,,,,smt
"C13, C14",2,1.5uF,C_1206_3216Metric,,,,smt
"C17, C22, C26, C29, C30, C32, C39, C40, C48, C9",10,10nF,C_0603_1608Metric,,,,smt
"C18, C42, C51, C53, C64",5,120nF,C_0603_1608Metric,,,,smt
C19,1,18nF,C_0603_1608Metric,,,,smt
C2,1,4.7nF,C_0603_1608Metric,,,,smt
"C20, C6",2,100pF,C_0603_1608Metric,,,,smt
C21,1,12nF,C_0603_1608Metric,,,,smt
"C23, C34, C38, C41, C55, C58",6,1.5uF,C_0805_2012Metric,,,,smt
"C25, C27, C31, C35, C66",5,1.2nF,C_0603_1608Metric,,,,smt
C3,1,5.2uF,C_1206_3216Metric,,,,smt
"C33, C8",2,24nF,C_0603_1608Metric,,,,smt
C4,1,2.5nF,C_0603_1608Metric,,,,smt
C43,1,10pF,C_0603_1608Metric,,,,smt
C45,1,33uF 20V,C_Disc_D3.0mm_W1.6mm_P2.50mm,,,,tht
C50,1,56uF 25V EC,EC,,,,tht
"C52, C60",2,1nF,C_0603_1608Metric,,,,smt
"C54, C61",2,47uF 6.3v,C_Radial_D6.3mm_H11.0mm_P2.50mm,,,,tht
C56,1,47uF 6.3V,C_Radial_D6.3mm_H11.0mm_P2.50mm,,,,tht
C57,1,15uF 16V,C_Radial_D6.3mm_H11.0mm_P2.50mm,,,,tht
"C62, C65",2,100nF,C_0603_1608Metric,,,,smt
C63,1,5.1nF,C_0603_1608Metric,,,,smt
C67,1,18uF 50V,C_Radial_D6.3mm_H11.0mm_P2.50mm,,,,tht
D1,1,8-2,D_0603_1608Metric,,,,smt
D2,1,5-9,D_0603_1608Metric,,,,smt
D3,1,DNP,D_1206_3216Metric,,,Yes,smt
D4,1,18,D_0603_1608Metric,,,,smt
D5,1,3^9,D_0603_1608Metric,,,,smt
D6,1,DNP,D_1206_3216Metric,,,Yes,smt
"D7, D8",2,s.3 4F,D_1206_3216Metric,,,,smt
"F1, F5",2,2.5A,Fuse_2010_5025Metric,,,,smt
F2,1,830mA,Fuse_2010_5025Metric,,,,smt
F3,1,15,Fuse_1206_3216Metric,,,,smt
F4,1,10,Fuse_1210_3225Metric,,,,smt
J1,1,Backllight_Connector,Backllight_Connector,,,,smt
J2,1,PSU_Jack,PSU_Jack,,,,smt
J3,1,PSU_Connector_Receptor,PSU_Connector_Receptor,,,,smt
L1,1,10uH,L_Radial_D7.5mm_P5.00mm_Fastron_07P,,,,tht
"L2, L5",2,10uH,L_Radial_D10.0mm_P5.00mm_Fastron_07M,,,,tht
L3,1,68uH,L_Coilcraft_LPS5030,,,,smt
L4,1,470uH,L_Coilcraft_LPS5030,,,,smt
Q1,1,R4C,3D,,,,smt
Q10,1,103 5G,SOT-powerT,,,,smt
"Q11, Q14, Q24, Q3, Q34, Q6, Q7",7,6LS,SOT-416,,,,smt
"Q12, Q18",2,Q,3D,,,,smt
"Q13, Q15, Q33, Q37, Q4",5,8LR,SOT-416,,,,smt
"Q16, Q17, Q19",3,M2P,3D,,,,smt
"Q2, Q32",2,K,3D,,,,smt
"Q20, Q28, Q31",3,W6,3D,,,,smt
"Q21, Q22, Q23, Q27, Q30, Q35, Q5",7,8C,SOT-416,,,,smt
Q25,1,8LB,SOT-416,,,,smt
Q26,1,G16,SOT-23-PC110,,,,smt
Q29,1,H15,SOT-23-PC110,,,,smt
Q36,1,3P4J,TO-252-2,,,,smt
Q8,1,303 5H,SOT-powerT,,,,smt
Q9,1,KD 3.E,SOT-89-3,,,,smt
R1,1,DNP,R_0603_1608Metric,,,Yes,smt
"R10, R2, R21, R31, R70, R74, R83, R87, R90",9,470k,R_0603_1608Metric,,,,smt
"R100, R110",2,7.5k,R_0603_1608Metric,,,,smt
"R101, R109, R45, R62, R69, R81",6,200k,R_0603_1608Metric,,,,smt
"R102, R49, R53, R78",4,300k,R_0603_1608Metric,,,,smt
"R103, R11, R114, R117, R13, R17, R19, R20, R30, R33, R35, R4, R44, R52, R61, R63, R64, R85, R86",19,10k,R_0603_1608Metric,,,,smt
"R104, R118, R48",3,100,R_0603_1608Metric,,,,smt
"R105, R15, R22, R5, R54, R57, R59, R77, R80, R84, R92",11,100k,R_0603_1608Metric,,,,smt
"R106, R27, R39, R41, R51, R58, R60",7,4.7k,R_0603_1608Metric,,,,smt
R107,1,2k,R_0603_1608Metric,,,,smt
R108,1,DNP,R_0603_1608Metric,,,Yes,smt
R111,1,33,R_0603_1608Metric,,,,smt
"R112, R113, R18, R9",4,20k,R_0603_1608Metric,,,,smt
R115,1,11K,R_0603_1608Metric,,,,smt
R116,1,15k,R_0603_1608Metric,,,,smt
R12,1,2.2k,R_0603_1608Metric,,,,smt
R14,1,12k,R_0603_1608Metric,,,,smt
R16,1,130k,R_0603_1608Metric,,,,smt
"R23, R25, R32, R34",4,0.1,R_1206_3216Metric,,,,smt
R24,1,220,R_0603_1608Metric,,,,smt
R26,1,103 (RT1),R_1206_3216Metric,,,,smt
R28,1,0,R_0603_1608Metric,,,,smt
R29,1,103 (RT2),R_1206_3216Metric,,,,smt
"R3, R36, R65, R71, R72, R75, R76, R93",8,1k,R_0603_1608Metric,,,,smt
R37,1,120,R_0603_1608Metric,,,,smt
"R38, R6",2,470,R_0603_1608Metric,,,,smt
R40,1,0.22,R_1206_3216Metric,,,,smt
"R42, R47, R67, R68, R73, R79, R94",7,47k,R_0603_1608Metric,,,,smt
"R43, R56",2,300,R_0603_1608Metric,,,,smt
"R46, R55, R88, R89",4,1M,R_0603_1608Metric,,,,smt
R50,1,DNP,R_0603_1608Metric,,,Yes,smt
R66,1,DNP,R_0603_1608Metric,,,Yes,smt
"R7, R8",2,0.1,R_1210_3225Metric,,,,smt
R82,1,DNP,R_0603_1608Metric,,,Yes,smt
R91,1,DNP,R_1206_3216Metric,,,Yes,smt
R95,1,DNP,R_1206_3216Metric,,,Yes,smt
R96,1,1.8k,R_0603_1608Metric,,,,smt
R97,1,DNP,R_1206_3216Metric,,,Yes,smt
"R98, R99",2,0,R_1206_3216Metric,,,,smt
SW1,1,PSU-SW1,PSU-SW1,,,,smt
U1,1,D9D,SOT-23-5,,,,smt
U10,1,9742,SSOP-16_4.4x5.2mm_P0.65mm,,,,smt
U11,1,7W14,SSOP-8-PSU,,,,smt
"U12, U13",2,J421,SOP-8_3.9x4.9mm_P1.27mm,,,,smt
U2,1,TA,SOT-23-5,,,,smt
U3,1,6.5 5F,SOT-23-6_Handsoldering,,,,smt
U4,1,MAX786CAI,TSSOP-28_6.1x9.7mm_P0.65mm,,,,smt
U5,1,K2337,SOP-8_3.9x4.9mm_P1.27mm,,,,smt
U6,1,7064,TSSOP-14_4.4x5mm_P0.65mm,,,,smt
U7,1,5W01,SSOP-8-PSU,,,,smt
"U8, U9",2,2556,SOP-8_3.9x4.9mm_P1.27mm,,,,smt
