pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
114.28,-81.03,0.0,top,C1,,,C_0603_1608Metric,150nF,smt
114.44,-103.73,0.0,top,C10,,,C_0603_1608Metric,3.6nF,smt
118.84,-101.02,0.0,top,C11,,,C_0603_1608Metric,180nF,smt
119.8,-93.22,0.0,top,C12,,,C_1206_3216Metric,1.2uF,smt
137.38,-98.86,-90.0,top,C13,,,C_1206_3216Metric,1.5uF,smt
134.48,-101.25,-90.0,top,C14,,,C_1206_3216Metric,1.5uF,smt
124.09,-108.84,0.0,top,C15,,,C_0603_1608Metric,180nF,smt
130.26,-96.27,-90.0,top,C16,,,C_0603_1608Metric,150nF,smt
125.34,-112.48,90.0,top,C17,,,C_0603_1608Metric,10nF,smt
158.41,-97.29,90.0,top,C18,,,C_0603_1608Metric,120nF,smt
153.92,-97.29,90.0,top,C19,,,C_0603_1608Metric,18nF,smt
112.14,-87.84,90.0,top,C2,,,C_0603_1608Metric,4.7nF,smt
164.66,-106.89,90.0,top,C20,,,C_0603_1608Metric,100pF,smt
152.66,-104.97,180.0,top,C21,,,C_0603_1608Metric,12nF,smt
144.28,-107.13,0.0,top,C22,,,C_0603_1608Metric,10nF,smt
155.39,-92.41,90.0,top,C23,,,C_0805_2012Metric,1.5uF,smt
146.96,-97.52,0.0,top,C24,,,C_0603_1608Metric,150nF,smt
160.95,-97.91,0.0,top,C25,,,C_0603_1608Metric,1.2nF,smt
144.28,-102.88,0.0,top,C26,,,C_0603_1608Metric,10nF,smt
152.74,-101.32,90.0,top,C27,,,C_0603_1608Metric,1.2nF,smt
154.13,-112.06,-90.0,top,C28,,,C_0603_1608Metric,150nF,smt
176.19,-94.04,0.0,top,C29,,,C_0603_1608Metric,10nF,smt
120.03,-85.93,0.0,top,C3,,,C_1206_3216Metric,5.2uF,smt
176.21,-102.68,0.0,top,C30,,,C_0603_1608Metric,10nF,smt
133.99,-115.69,-90.0,top,C31,,,C_0603_1608Metric,1.2nF,smt
121.28,-115.18,90.0,top,C32,,,C_0603_1608Metric,10nF,smt
136.68,-118.49,-90.0,top,C33,,,C_0603_1608Metric,24nF,smt
134.13,-118.21,180.0,top,C34,,,C_0805_2012Metric,1.5uF,smt
152.38,-115.53,-90.0,top,C35,,,C_0603_1608Metric,1.2nF,smt
144.9,-119.1,-90.0,top,C36,,,C_0603_1608Metric,150nF,smt
175.36,-116.3,90.0,top,C37,,,C_0603_1608Metric,180nF,smt
158.43,-87.28,180.0,bottom,C38,,,C_0805_2012Metric,1.5uF,smt
